# Original Filename:   bc03_ssp_z_0.02_chab.model
# zf:                  3.0
# SFH:                 SSP
# Metallicity (z):     0.02
# IMF:                 Chabrier
# Cosmology:           Om=0.2720 Ol=0.7280 h=0.7040 w=-1.0000
# Magnitude System:    AB
AB# Normalization        M(sloan_i) = -22.055 <type 'type'> mags @ z = 0.1
#
# Column Descriptions:
# 1 redshift
# 2 sloan_r rest-frame absolute magnitude
# 3 sloan_r observed-frame absolute magnitude
# 4 sloan_r apparent mangnitude
# 5 sloan_z rest-frame absolute magnitude
# 6 sloan_z observed-frame absolute magnitude
# 7 sloan_z apparent mangnitude
 1.800 -23.4516 -19.6356  26.0803 -23.8784 -22.1417  23.5741
 1.825 -23.4800 -19.7063  26.0467 -23.8985 -22.1494  23.6036
 1.850 -23.5149 -19.7786  26.0110 -23.9336 -22.1479  23.6416
 1.875 -23.5621 -19.8631  25.9625 -23.9959 -22.1641  23.6615
 1.900 -23.6065 -19.9285  25.9327 -24.0536 -22.1707  23.6906
 1.925 -23.6484 -19.9807  25.9156 -24.1073 -22.1668  23.7295
 1.950 -23.7289 -20.0463  25.8846 -24.1815 -22.1742  23.7567
 1.975 -23.8091 -20.1020  25.8631 -24.2535 -22.1800  23.7851
 2.000 -23.8824 -20.1470  25.8518 -24.3198 -22.1746  23.8242
 2.100 -23.8845 -20.3897  25.7397 -24.2150 -22.1772  23.9523
 2.200 -23.9771 -20.7714  25.4824 -24.2807 -22.2678  23.9860
 2.300 -24.1109 -21.2287  25.1437 -24.3855 -22.4021  23.9703
 2.400 -24.2624 -21.8068  24.6789 -24.5034 -22.6744  23.8113
 2.500 -24.4103 -22.4194  24.1747 -24.5975 -23.0531  23.5411
 2.600 -24.6065 -23.1027  23.5955 -24.7539 -23.5597  23.1384
 2.700 -24.8583 -23.9656  22.8324 -24.9809 -24.2759  22.5221
 2.800 -25.0867 -24.8756  22.0185 -25.1651 -25.1001  21.7940
